date,country,total_cases,total_hospitalizations,total_icu,total_deaths,total_recovered,active_cases,regions_count,avg_age,mortality_rate,recovery_rate,processed_at
2020-07-30,FRANCE,"",5334,357,19719,81656,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-31,COLOMBIA,1158,"","",41,0,0,29,38.0440414507772,3.54,0.0,2026-02-25T07:01:18.070+01:00
2020-07-31,FRANCE,"",5257,347,19730,81870,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-01,FRANCE,"",5177,344,19736,82016,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-02,FRANCE,"",5188,345,19737,82029,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-03,FRANCE,"",5157,360,19759,82155,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-04,COLOMBIA,1496,"","",51,0,0,17,39.1798128342246,3.41,0.0,2026-02-25T07:01:18.070+01:00
2020-08-04,FRANCE,"",5121,364,19770,82307,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-05,COLOMBIA,1558,"","",53,0,0,30,40.72721437740693,3.4,0.0,2026-02-25T07:01:18.070+01:00
2020-08-05,FRANCE,"",5107,360,19779,82449,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-06,FRANCE,"",5019,366,19786,82659,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-07,FRANCE,"",4970,359,19798,82825,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-08,FRANCE,"",4981,366,19800,82881,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-09,COLOMBIA,2456,"","",73,0,0,31,39.52483713355049,2.97,0.0,2026-02-25T07:01:18.070+01:00
2020-08-09,FRANCE,"",4992,368,19800,82886,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-10,FRANCE,"",5004,372,19814,83036,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-11,FRANCE,"",4971,367,19829,83226,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-12,FRANCE,"",4850,355,19846,83461,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-13,COLOMBIA,2556,"","",140,0,0,29,41.10250391236307,5.48,0.0,2026-02-25T07:01:18.070+01:00
2020-08-13,FRANCE,"",4824,351,19863,83651,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-14,FRANCE,"",4788,344,19881,83836,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-15,FRANCE,"",4817,353,19884,83880,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-16,FRANCE,"",4820,353,19885,83909,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-17,COLOMBIA,2929,"","",52,0,0,33,38.56264936838512,1.78,0.0,2026-02-25T07:01:18.070+01:00
2020-08-17,FRANCE,"",4885,361,19904,84053,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-18,FRANCE,"",4783,357,19920,84297,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-19,FRANCE,"",4781,362,19937,84440,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-20,FRANCE,"",4723,368,19949,84615,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-21,COLOMBIA,2624,"","",108,0,0,31,40.58346036585366,4.12,0.0,2026-02-25T07:01:18.070+01:00
2020-08-21,FRANCE,"",4720,367,19972,84802,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-22,FRANCE,"",4685,368,19980,84923,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-23,FRANCE,"",4683,371,19981,84946,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-24,FRANCE,"",4664,387,19996,85172,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-25,COLOMBIA,2322,"","",46,0,0,31,38.33634797588286,1.98,0.0,2026-02-25T07:01:18.070+01:00
2020-08-25,FRANCE,"",4578,401,20016,85494,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-26,FRANCE,"",4535,373,20034,85731,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-27,FRANCE,"",4517,375,20046,85954,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-28,FRANCE,"",4517,381,20065,86147,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-29,COLOMBIA,1387,"","",19,0,0,22,38.66402307137707,1.37,0.0,2026-02-25T07:01:18.070+01:00
2020-08-29,FRANCE,"",4512,394,20071,86268,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-30,COLOMBIA,713,"","",23,0,0,28,41.23422159887798,3.23,0.0,2026-02-25T07:01:18.070+01:00
2020-08-30,FRANCE,"",4517,396,20075,86280,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-08-31,COLOMBIA,1,"","",0,0,0,1,23.0,0.0,0.0,2026-02-25T07:01:18.070+01:00
2020-08-31,FRANCE,"",4564,403,20104,86439,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-01,FRANCE,"",4586,418,20123,86682,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-02,FRANCE,"",4614,440,20148,86933,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-03,COLOMBIA,2165,"","",66,0,0,13,41.06836027713626,3.05,0.0,2026-02-25T07:01:18.070+01:00
2020-09-03,FRANCE,"",4625,458,20168,87176,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-04,FRANCE,"",4653,467,20186,87417,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-05,FRANCE,"",4667,476,20198,87549,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-06,FRANCE,"",4697,480,20201,87578,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-07,FRANCE,"",4889,531,20226,87806,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-08,COLOMBIA,2026,"","",51,0,0,36,41.212240868706814,2.52,0.0,2026-02-25T07:01:18.070+01:00
2020-09-08,FRANCE,"",4942,568,20265,88196,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-09,FRANCE,"",4985,593,20295,88494,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-10,FRANCE,"",5077,608,20314,88712,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-11,FRANCE,"",5136,628,20354,89029,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-12,FRANCE,"",5176,655,20371,89201,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-13,COLOMBIA,2330,"","",70,0,0,35,40.98369098712446,3.0,0.0,2026-02-25T07:01:18.070+01:00
2020-09-13,FRANCE,"",5228,662,20377,89240,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-14,FRANCE,"",5479,705,20411,89477,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-15,FRANCE,"",5660,752,20447,89861,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-16,FRANCE,"",5800,796,20493,90305,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-17,FRANCE,"",5825,793,20543,90810,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-18,COLOMBIA,1655,"","",47,0,0,11,40.02356495468278,2.84,0.0,2026-02-25T07:01:18.070+01:00
2020-09-18,FRANCE,"",5800,820,20665,91544,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-19,FRANCE,"",5493,827,20690,92289,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-20,FRANCE,"",5356,834,20701,92552,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-21,FRANCE,"",5597,912,20754,92978,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-22,FRANCE,"",5777,944,20821,93508,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-23,COLOMBIA,1823,"","",92,0,0,35,42.19418540866703,5.05,0.0,2026-02-25T07:01:18.070+01:00
2020-09-23,FRANCE,"",5913,995,20864,93952,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-24,FRANCE,"",6012,1041,20916,94383,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-25,FRANCE,"",6110,1092,20971,94860,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-26,FRANCE,"",6154,1105,21010,95272,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-27,COLOMBIA,826,"","",21,0,0,30,41.23970944309927,2.54,0.0,2026-02-25T07:01:18.070+01:00
2020-09-27,FRANCE,"",6235,1112,21037,95395,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-28,COLOMBIA,1050,"","",22,0,0,31,40.375238095238096,2.1,0.0,2026-02-25T07:01:18.070+01:00
2020-09-28,FRANCE,"",6397,1158,21118,95743,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-29,FRANCE,"",6482,1198,21177,96296,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-09-30,FRANCE,"",6572,1232,21240,96766,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-10-01,FRANCE,"",6634,1259,21303,97240,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-10-02,FRANCE,"",6740,1270,21350,97747,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-10-03,COLOMBIA,1855,"","",56,0,0,33,41.13530997304582,3.02,0.0,2026-02-25T07:01:18.070+01:00
2020-10-03,FRANCE,"",6740,1289,21393,98199,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-10-04,FRANCE,"",6964,1335,21425,98343,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-10-05,FRANCE,"",7276,1409,21494,98649,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-10-06,FRANCE,"",7377,1417,21556,99264,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-10-07,COLOMBIA,1404,"","",33,0,0,26,41.17450142450142,2.35,0.0,2026-02-25T07:01:18.070+01:00
2020-10-07,FRANCE,"",7514,1406,21636,99762,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-10-08,COLOMBIA,422,"","",12,0,0,26,39.36492890995261,2.84,0.0,2026-02-25T07:01:18.070+01:00
2020-10-08,FRANCE,"",7603,1418,21712,100275,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-10-09,FRANCE,"",7843,1439,21774,100797,"",102,"","","",2026-02-25T07:01:18.070+01:00
